window_start_utc,settled_up,slug,source,up_mid_open,mid_seconds_remaining,open_price,close_price
2025-12-27 15:45:00+00:00,0,btc-updown-15m-1766850300,bot.hist_windows,,,,
2025-12-27 16:00:00+00:00,0,btc-updown-15m-1766851200,bot.hist_windows,,,,
2025-12-27 16:15:00+00:00,0,btc-updown-15m-1766852100,bot.hist_windows,,,,
2025-12-27 16:30:00+00:00,1,btc-updown-15m-1766853000,bot.hist_windows,,,,
2025-12-27 16:45:00+00:00,0,btc-updown-15m-1766853900,bot.hist_windows,,,,
2025-12-27 17:00:00+00:00,1,btc-updown-15m-1766854800,bot.hist_windows,,,,
2025-12-27 17:15:00+00:00,1,btc-updown-15m-1766855700,bot.hist_windows,,,,
2025-12-27 17:30:00+00:00,1,btc-updown-15m-1766856600,bot.hist_windows,,,,
2025-12-27 17:45:00+00:00,1,btc-updown-15m-1766857500,bot.hist_windows,,,,
2025-12-27 18:00:00+00:00,0,btc-updown-15m-1766858400,bot.hist_windows,,,,
2025-12-27 18:15:00+00:00,1,btc-updown-15m-1766859300,bot.hist_windows,,,,
2025-12-27 18:30:00+00:00,0,btc-updown-15m-1766860200,bot.hist_windows,,,,
2025-12-27 18:45:00+00:00,0,btc-updown-15m-1766861100,bot.hist_windows,,,,
2025-12-27 19:00:00+00:00,1,btc-updown-15m-1766862000,bot.hist_windows,,,,
2025-12-27 19:15:00+00:00,1,btc-updown-15m-1766862900,bot.hist_windows,,,,
2025-12-27 19:30:00+00:00,0,btc-updown-15m-1766863800,bot.hist_windows,,,,
2025-12-27 19:45:00+00:00,1,btc-updown-15m-1766864700,bot.hist_windows,,,,
2025-12-27 20:00:00+00:00,1,btc-updown-15m-1766865600,bot.hist_windows,,,,
2025-12-27 20:15:00+00:00,0,btc-updown-15m-1766866500,bot.hist_windows,,,,
2025-12-27 20:30:00+00:00,1,btc-updown-15m-1766867400,bot.hist_windows,,,,
2025-12-27 20:45:00+00:00,1,btc-updown-15m-1766868300,bot.hist_windows,,,,
2025-12-27 21:00:00+00:00,1,btc-updown-15m-1766869200,bot.hist_windows,,,,
2025-12-27 21:15:00+00:00,1,btc-updown-15m-1766870100,bot.hist_windows,,,,
2025-12-27 21:30:00+00:00,1,btc-updown-15m-1766871000,bot.hist_windows,,,,
2025-12-27 21:45:00+00:00,1,btc-updown-15m-1766871900,bot.hist_windows,,,,
2025-12-27 22:00:00+00:00,1,btc-updown-15m-1766872800,bot.hist_windows,,,,
2025-12-27 22:15:00+00:00,0,btc-updown-15m-1766873700,bot.hist_windows,,,,
2025-12-27 22:30:00+00:00,0,btc-updown-15m-1766874600,bot.hist_windows,,,,
2025-12-27 22:45:00+00:00,0,btc-updown-15m-1766875500,bot.hist_windows,,,,
2025-12-27 23:00:00+00:00,1,btc-updown-15m-1766876400,bot.hist_windows,,,,
2025-12-27 23:15:00+00:00,1,btc-updown-15m-1766877300,bot.hist_windows,,,,
